Timestamp,Sensor 1 Raw Value,Sensor 1 Voltage (V),Sensor 1 Resistance (Ohm),Sensor 1 Force (g),Sensor 1 Force (N),Sensor 2 Raw Value,Sensor 2 Voltage (V),Sensor 2 Resistance (Ohm),Sensor 2 Force (g),Sensor 2 Force (N),Sensor 3 Raw Value,Sensor 3 Voltage (V),Sensor 3 Resistance (Ohm),Sensor 3 Force (g),Sensor 3 Force (N)
17:01:38.833,-1.0000,0.0000,499999900000.0,0.0,0.000,-1.0000,0.0000,499999900000.0,0.0,0.000,64579.0000,2.5017,99861.5,5.5,0.054
17:01:40.503,-1.0000,0.0000,499999900000.0,0.0,0.000,-1.0000,0.0000,499999900000.0,0.0,0.000,64768.0000,2.5086,99317.0,5.5,0.054
17:01:42.174,-1.0000,0.0000,499999900000.0,0.0,0.000,-1.0000,0.0000,499999900000.0,0.0,0.000,64944.0000,2.5118,99059.6,5.6,0.055
17:01:43.844,-1.0000,0.0000,499999900000.0,0.0,0.000,-1.0000,0.0000,499999900000.0,0.0,0.000,64814.0000,2.5096,99231.1,5.5,0.054
17:01:45.515,-1.0000,0.0000,499999900000.0,0.0,0.000,-1.0000,0.0000,499999900000.0,0.0,0.000,64758.0000,2.5066,99473.6,5.5,0.054
17:01:47.186,-1.0000,0.0000,499999900000.0,0.0,0.000,-1.0000,0.0000,499999900000.0,0.0,0.000,64739.0000,2.5054,99565.8,5.5,0.054
17:01:48.858,-1.0000,0.0000,499999900000.0,0.0,0.000,-1.0000,0.0000,499999900000.0,0.0,0.000,64869.0000,2.5078,99381.4,5.5,0.054
17:01:50.529,-1.0000,0.0000,499999900000.0,0.0,0.000,-1.0000,0.0000,499999900000.0,0.0,0.000,64748.0000,2.5056,99550.4,5.5,0.054
17:01:52.199,-1.0000,0.0000,499999900000.0,0.0,0.000,-1.0000,0.0000,499999900000.0,0.0,0.000,64688.0000,2.5039,99688.9,5.5,0.054
17:01:53.869,-1.0000,0.0000,499999900000.0,0.0,0.000,-1.0000,0.0000,499999900000.0,0.0,0.000,64691.0000,2.5037,99701.2,5.5,0.054
17:01:55.539,-1.0000,0.0000,499999900000.0,0.0,0.000,-1.0000,0.0000,499999900000.0,0.0,0.000,64707.0000,2.5042,99667.3,5.5,0.054
17:01:57.210,-1.0000,0.0000,499999900000.0,0.0,0.000,-1.0000,0.0000,499999900000.0,0.0,0.000,64792.0000,2.5056,99553.5,5.5,0.054
17:01:58.880,-2.0000,0.0000,499999900000.0,0.0,0.000,-1.0000,0.0000,499999900000.0,0.0,0.000,64924.0000,2.4966,100272.5,5.5,0.054
17:02:00.551,-1.0000,0.0000,499999900000.0,0.0,0.000,-1.0000,0.0000,499999900000.0,0.0,0.000,72451.0000,2.8042,78304.0,7.7,0.076
17:02:02.223,-1.0000,0.0000,499999900000.0,0.0,0.000,-1.0000,0.0000,499999900000.0,0.0,0.000,72738.0000,2.8150,77619.3,7.8,0.077
17:02:03.894,-1.0000,0.0000,499999900000.0,0.0,0.000,-2.0000,0.0000,499999900000.0,0.0,0.000,72795.0000,2.8185,77397.9,7.9,0.077
17:02:05.564,-1.0000,0.0000,499999900000.0,0.0,0.000,-1.0000,0.0000,499999900000.0,0.0,0.000,72836.0000,2.8203,77286.2,7.9,0.077
